permno,ticker,permco,cusip,company,price_x,sheet_row,is_duplicate_row,weight_target,price_y,target_value,shares,value,weight_actual,weight
87432,A,36364,00846U10,AGILENT TECHNOLOGIES INC,136.07,22,False,0.0026697394925015,136.07,23436.3143195188,172,23404.039999999997,0.002340404,0.002340404
14593,AAPL,7,03783310,APPLE INC,271.86,23,False,0.0034678470489145,271.86,30442.503352349177,111,30176.460000000003,0.003017646,0.003017646
13721,ABBV,54287,00287Y10,ABBVIE INC,228.49,24,False,0.0015750272786783,228.49,13826.38061451242,60,13709.400000000001,0.0013709400000000002,0.0013709400000000002
20190,ABNB,57588,00906610,AIRBNB INC,135.72,25,False,0.0016424933346108,135.72,14418.6315428046,106,14386.32,0.001438632,0.001438632
20482,ABT,20017,00282410,ABBOTT LABORATORIES,125.29,26,False,0.0020997743718496,125.29,18432.874187521396,147,18417.63,0.0018417630000000002,0.0018417630000000002
82276,ACGL,13971,G0450A10,ARCH CAPITAL GROUP LTD NEW,95.92,27,False,0.0015124294487608,95.92,13276.865419570424,138,13236.960000000001,0.001323696,0.001323696
89071,ACN,41871,G1151C10,ACCENTURE PLC IRELAND,268.3,28,False,0.0024921237395837,268.3,21877.114021073492,81,21732.3,0.00217323,0.00217323
75510,ADBE,8476,00724F10,ADOBE INC,349.99,29,False,0.001555651009327,349.99,13656.285989125867,39,13649.61,0.001364961,0.001364961
60871,ADI,282,03265410,ANALOG DEVICES INC,271.2,30,False,0.0019431026094755,271.2,17057.530758581837,62,16814.399999999998,0.0016814399999999998,0.0016814399999999998
10516,ADM,20207,03948310,ARCHER DANIELS MIDLAND CO,57.49,31,False,0.0012521422730586,57.49,10991.933844699492,191,10980.59,0.001098059,0.001098059
44644,ADP,20235,05301510,AUTOMATIC DATA PROCESSING INC,257.23,32,False,0.0031950748961694,257.23,28047.972377585025,109,28038.070000000003,0.002803807,0.002803807
85631,ADSK,7623,05276910,AUTODESK INC,296.01,33,False,0.0029041817331699,296.01,25494.36607232434,86,25456.86,0.002545686,0.002545686
24985,AEE,21808,02360810,AMEREN CORP,99.86,34,False,0.0024235899685287,99.86,21275.490153105027,213,21270.18,0.002127018,0.002127018
24109,AEP,20077,02553710,AMERICAN ELECTRIC POWER CO INC,115.31,35,False,0.0016019466899855,115.31,14062.692729032931,121,13952.51,0.0013952510000000001,0.0013952510000000001
76712,AES,10996,00130H10,A E S CORP,14.34,36,False,0.0010900701802521,14.34,9569.183602548956,667,9564.78,0.0009564780000000001,0.0009564780000000001
57904,AFL,92,00105510,AFLAC INC,110.27,37,False,0.0024926051099166,110.27,21881.33973165598,198,21833.46,0.002183346,0.002183346
66800,AIG,137,02687478,AMERICAN INTERNATIONAL GROUP INC,85.55,38,False,0.0018587181232131,85.55,16316.761350446182,190,16254.5,0.00162545,0.00162545
